"ID","Name","Station","Latitude","Longitude","Elevation","Depth","Avg_Depth","Beginning_Year","Ending_Year","Missing_Years","Percentage_Missing_Values","Number_of_Full_Years","Filename","Land_Cover"
154,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0-0.3",0.15,2016,2022,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Improved grassland (empirically determined)"
155,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.050000_0.050000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
156,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.050000_0.050000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
157,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
158,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
159,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.150000_0.150000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
160,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.150000_0.150000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
161,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.250000_0.250000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
162,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.250000_0.250000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
163,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.500000_0.500000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
164,"CwmGarw","COSMOS-UK",51.95136,-4.74658,299,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/CwmGarw/COSMOS-UK_COSMOS-UK_CwmGarw_sm_0.500000_0.500000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
168,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0-0.3",0.15,2016,2022,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Arable and horticulture (empirically determined)"
169,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.050000_0.050000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
170,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.050000_0.050000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
171,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
172,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
173,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.150000_0.150000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
174,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.150000_0.150000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
175,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.250000_0.250000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
176,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.250000_0.250000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
177,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.500000_0.500000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
178,"Elmsett","COSMOS-UK",52.09465,0.99307,76,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Elmsett/COSMOS-UK_COSMOS-UK_Elmsett_sm_0.500000_0.500000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
179,"Euston","COSMOS-UK",52.33639,0.79592,18,"0-0.3",0.15,2016,2022,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Improved grassland (empirically determined)"
180,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.050000_0.050000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
181,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.05-0.05",0.05,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.050000_0.050000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
182,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
183,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.1-0.1",0.1,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
184,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.150000_0.150000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
185,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.15-0.15",0.15,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.150000_0.150000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
186,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.250000_0.250000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
187,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.25-0.25",0.25,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.250000_0.250000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
188,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.500000_0.500000_TDT-A_19500101_20241016.stm","Improved grassland (empirically determined)"
189,"Euston","COSMOS-UK",52.33639,0.79592,18,"0.5-0.5",0.5,2016,2023,NA,0,8,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Euston/COSMOS-UK_COSMOS-UK_Euston_sm_0.500000_0.500000_TDT-B_19500101_20241016.stm","Improved grassland (empirically determined)"
190,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0-0.3",0.15,2017,2022,NA,0,6,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.000000_0.300000_Cosmic-ray-Probe_19500101_20241016.stm","Arable and horticulture (empirically determined)"
191,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.05-0.05",0.05,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.050000_0.050000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
192,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.05-0.05",0.05,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.050000_0.050000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
193,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.1-0.1",0.1,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.100000_0.100000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
194,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.1-0.1",0.1,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.100000_0.100000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
195,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.15-0.15",0.15,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.150000_0.150000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
196,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.15-0.15",0.15,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.150000_0.150000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
197,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.25-0.25",0.25,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.250000_0.250000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
198,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.25-0.25",0.25,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.250000_0.250000_TDT-B_19500101_20241016.stm","Arable and horticulture (empirically determined)"
199,"Fincham","COSMOS-UK",52.61777,0.51073,15,"0.5-0.5",0.5,2017,2023,NA,0,7,"/home/xosto002/Beachelor_thesis/COSMOS-UK/Fincham/COSMOS-UK_COSMOS-UK_Fincham_sm_0.500000_0.500000_TDT-A_19500101_20241016.stm","Arable and horticulture (empirically determined)"
