ID,Name,Station,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years,Filename
1363,Montaut,SMOSMANIA,43.1922,1.6436,295,0.05-0.05,0.05,2017,2024,NA,0,8,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1364,Montaut,SMOSMANIA,43.1922,1.6436,295,0.1-0.1,0.1,2007,2017,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1365,Montaut,SMOSMANIA,43.1922,1.6436,295,0.1-0.1,0.1,2017,2024,NA,0,8,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
1366,Montaut,SMOSMANIA,43.1922,1.6436,295,0.2-0.2,0.2,2007,2017,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1367,Montaut,SMOSMANIA,43.1922,1.6436,295,0.2-0.2,0.2,2017,2022,NA,0,6,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.200000_0.200000_ThetaProbe-ML3_19500101_20241016.stm
1368,Montaut,SMOSMANIA,43.1922,1.6436,295,0.3-0.3,0.3,2007,2017,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1369,Montaut,SMOSMANIA,43.1922,1.6436,295,0.3-0.3,0.3,2017,2024,NA,0,8,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mejannes-le-Clap/SMOSMANIA_SMOSMANIA_Mejannes-le-Clap_sm_0.300000_0.300000_ThetaProbe-ML3_19500101_20241016.stm
1370,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.05-0.05,0.05,2007,2016,NA,0,10,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1371,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.05-0.05,0.05,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1372,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.1-0.1,0.1,2007,2018,NA,0,12,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1373,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.1-0.1,0.1,2018,2024,NA,0,7,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
1374,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.2-0.2,0.2,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1375,Mouthoumet,SMOSMANIA,42.96,2.53,538,0.3-0.3,0.3,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.200000_0.200000_ThetaProbe-ML3_19500101_20241016.stm
1376,Narbonne,SMOSMANIA,43.15,2.9567,112,0.05-0.05,0.05,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1377,Narbonne,SMOSMANIA,43.15,2.9567,112,0.1-0.1,0.1,2007,2018,NA,0,12,/home/xosto002/Beachelor_thesis/SMOSMANIA/Montaut/SMOSMANIA_SMOSMANIA_Montaut_sm_0.300000_0.300000_ThetaProbe-ML3_19500101_20241016.stm
1378,Narbonne,SMOSMANIA,43.15,2.9567,112,0.1-0.1,0.1,2018,2024,NA,0,7,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mouthoumet/SMOSMANIA_SMOSMANIA_Mouthoumet_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1379,Narbonne,SMOSMANIA,43.15,2.9567,112,0.2-0.2,0.2,2007,2021,NA,0,15,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mouthoumet/SMOSMANIA_SMOSMANIA_Mouthoumet_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1380,Narbonne,SMOSMANIA,43.15,2.9567,112,0.3-0.3,0.3,2007,2019,NA,0,13,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mouthoumet/SMOSMANIA_SMOSMANIA_Mouthoumet_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1382,PeyrusseGrande,SMOSMANIA,43.6664,0.2217,245,0.05-0.05,0.05,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mouthoumet/SMOSMANIA_SMOSMANIA_Mouthoumet_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1383,PeyrusseGrande,SMOSMANIA,43.6664,0.2217,245,0.1-0.1,0.1,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Mouthoumet/SMOSMANIA_SMOSMANIA_Mouthoumet_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1384,PeyrusseGrande,SMOSMANIA,43.6664,0.2217,245,0.2-0.2,0.2,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1385,PeyrusseGrande,SMOSMANIA,43.6664,0.2217,245,0.3-0.3,0.3,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1386,Pezenas-old,SMOSMANIA,43.43833,3.40333,30,0.05-0.05,0.05,2008,2016,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
1387,Pezenas-old,SMOSMANIA,43.43833,3.40333,30,0.1-0.1,0.1,2008,2016,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1388,Pezenas-old,SMOSMANIA,43.43833,3.40333,30,0.2-0.2,0.2,2008,2016,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1389,Pezenas-old,SMOSMANIA,43.43833,3.40333,30,0.3-0.3,0.3,2008,2016,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Narbonne/SMOSMANIA_SMOSMANIA_Narbonne_sm_0.300000_0.300000_ThetaProbe-ML3_19500101_20241016.stm
1390,Pezenas,SMOSMANIA,43.43833,3.40333,30,0.05-0.05,0.05,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/PeyrusseGrande/SMOSMANIA_SMOSMANIA_PeyrusseGrande_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1391,Pezenas,SMOSMANIA,43.43833,3.40333,30,0.1-0.1,0.1,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/PeyrusseGrande/SMOSMANIA_SMOSMANIA_PeyrusseGrande_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1392,Pezenas,SMOSMANIA,43.43833,3.40333,30,0.2-0.2,0.2,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/PeyrusseGrande/SMOSMANIA_SMOSMANIA_PeyrusseGrande_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1393,Pezenas,SMOSMANIA,43.43833,3.40333,30,0.3-0.3,0.3,2016,2024,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/PeyrusseGrande/SMOSMANIA_SMOSMANIA_PeyrusseGrande_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1394,Prades-le-Lez,SMOSMANIA,43.43767,3.40033,40,0.05-0.05,0.05,2008,2015,NA,0,8,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas-old/SMOSMANIA_SMOSMANIA_Pezenas-old_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1395,Prades-le-Lez,SMOSMANIA,43.43767,3.40033,40,0.05-0.05,0.05,2015,2023,NA,0,9,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas-old/SMOSMANIA_SMOSMANIA_Pezenas-old_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1396,Prades-le-Lez,SMOSMANIA,43.43767,3.40033,40,0.1-0.1,0.1,2008,2023,NA,0,16,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas-old/SMOSMANIA_SMOSMANIA_Pezenas-old_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1397,Prades-le-Lez,SMOSMANIA,43.43767,3.40033,40,0.2-0.2,0.2,2008,2024,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas-old/SMOSMANIA_SMOSMANIA_Pezenas-old_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1398,Prades-le-Lez,SMOSMANIA,43.43767,3.40033,40,0.3-0.3,0.3,2009,2024,NA,0,16,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas/SMOSMANIA_SMOSMANIA_Pezenas_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1399,Sabres,SMOSMANIA,44.1475,-0.8456,81,0.05-0.05,0.05,2007,2023,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas/SMOSMANIA_SMOSMANIA_Pezenas_sm_0.100000_0.100000_ThetaProbe-ML3_19500101_20241016.stm
1400,Sabres,SMOSMANIA,44.1475,-0.8456,81,0.1-0.1,0.1,2007,2023,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas/SMOSMANIA_SMOSMANIA_Pezenas_sm_0.200000_0.200000_ThetaProbe-ML3_19500101_20241016.stm
1401,Sabres,SMOSMANIA,44.1475,-0.8456,81,0.2-0.2,0.2,2007,2023,NA,0,17,/home/xosto002/Beachelor_thesis/SMOSMANIA/Pezenas/SMOSMANIA_SMOSMANIA_Pezenas_sm_0.300000_0.300000_ThetaProbe-ML3_19500101_20241016.stm
1402,Sabres,SMOSMANIA,44.1475,-0.8456,81,0.3-0.3,0.3,2007,2021,NA,0,15,/home/xosto002/Beachelor_thesis/SMOSMANIA/Prades-le-Lez/SMOSMANIA_SMOSMANIA_Prades-le-Lez_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1403,SaintFelixdeLauragais,SMOSMANIA,43.4417,1.88,337,0.05-0.05,0.05,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Prades-le-Lez/SMOSMANIA_SMOSMANIA_Prades-le-Lez_sm_0.050000_0.050000_ThetaProbe-ML3_19500101_20241016.stm
1404,SaintFelixdeLauragais,SMOSMANIA,43.4417,1.88,337,0.1-0.1,0.1,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Prades-le-Lez/SMOSMANIA_SMOSMANIA_Prades-le-Lez_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1405,SaintFelixdeLauragais,SMOSMANIA,43.4417,1.88,337,0.2-0.2,0.2,2007,2017,NA,0,11,/home/xosto002/Beachelor_thesis/SMOSMANIA/Prades-le-Lez/SMOSMANIA_SMOSMANIA_Prades-le-Lez_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
1406,SaintFelixdeLauragais,SMOSMANIA,43.4417,1.88,337,0.2-0.2,0.2,2017,2024,NA,0,8,/home/xosto002/Beachelor_thesis/SMOSMANIA/Prades-le-Lez/SMOSMANIA_SMOSMANIA_Prades-le-Lez_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm
1407,SaintFelixdeLauragais,SMOSMANIA,43.4417,1.88,337,0.3-0.3,0.3,2007,2024,NA,0,18,/home/xosto002/Beachelor_thesis/SMOSMANIA/Sabres/SMOSMANIA_SMOSMANIA_Sabres_sm_0.050000_0.050000_ThetaProbe-ML2X_19500101_20241016.stm
1408,Savenes,SMOSMANIA,43.825,1.1767,158,0.05-0.05,0.05,2007,2019,NA,0,13,/home/xosto002/Beachelor_thesis/SMOSMANIA/Sabres/SMOSMANIA_SMOSMANIA_Sabres_sm_0.100000_0.100000_ThetaProbe-ML2X_19500101_20241016.stm
1409,Savenes,SMOSMANIA,43.825,1.1767,158,0.05-0.05,0.05,2019,2024,NA,0,6,/home/xosto002/Beachelor_thesis/SMOSMANIA/Sabres/SMOSMANIA_SMOSMANIA_Sabres_sm_0.200000_0.200000_ThetaProbe-ML2X_19500101_20241016.stm
